Agents,X_DIM,Y_DIM,TRIAL_NO,SCORE,DONE_RATIO,STEPS,ACTION_PROB
10,35,35,40,-0.12930555555555331,10.0,228,[0.00834725 0.00500835 0.0033389  0.98163606 0.00166945]
10,35,35,41,-0.08648148148148058,50.0,165,[0.01796407 0.02195609 0.0259481  0.90818363 0.0259481 ]
10,35,35,42,-0.4207407407407542,0.0,568,[0.0077135  0.00826446 0.00881543 0.96694215 0.00826446]
10,35,35,43,-0.4492245370370529,20.0,585,"[0.00000000e+00 5.70125428e-04 5.70125428e-04 9.98289624e-01
 5.70125428e-04]"
10,35,35,44,-0.05269675925925942,20.0,85,[0.05327869 0.03688525 0.02459016 0.86885246 0.01639344]
10,35,35,45,-0.48837962962966114,0.0,548,[0.00280112 0.00112045 0.00112045 0.99215686 0.00280112]
10,35,35,46,-0.1758796296296287,0.0,262,[0.05088063 0.06457926 0.04696673 0.7964775  0.04109589]
10,35,35,47,-0.058333333333333334,30.0,92,[0.03187251 0.02788845 0.03187251 0.85657371 0.05179283]
10,35,35,48,-0.10694444444444264,0.0,168,[0.02639296 0.03519062 0.05278592 0.84164223 0.04398827]
10,35,35,49,-0.05437499999999994,10.0,88,[0.04901961 0.03267974 0.03921569 0.85294118 0.02614379]
10,35,35,50,-0.26364583333334446,40.0,564,[0.00655201 0.001638   0.002457   0.98034398 0.00900901]
10,35,35,51,-0.21898148148147925,70.0,576,[0.00777874 0.00345722 0.00864304 0.97752809 0.00259291]
10,35,35,52,-0.1293749999999991,0.0,162,[0.0302267  0.05541562 0.05541562 0.8186398  0.04030227]
10,35,35,53,-0.11847222222221962,10.0,224,[0.04924761 0.04651163 0.0506156  0.80574555 0.04787962]
10,35,35,54,-0.061215277777777716,20.0,87,[0. 0. 0. 1. 0.]
10,35,35,55,-0.4951157407407595,0.0,586,[0. 0. 0. 1. 0.]
10,35,35,56,-0.3261805555555676,0.0,462,[0.04012672 0.03484688 0.04435058 0.83210137 0.04857445]
10,35,35,57,-0.07083333333333292,10.0,102,[0.02405498 0.02061856 0.00687285 0.93127148 0.01718213]
10,35,35,58,-0.15340277777777447,10.0,231,[0.012 0.018 0.012 0.94  0.018]
10,35,35,59,-0.0655555555555551,50.0,148,[0.07261411 0.06431535 0.05394191 0.75518672 0.05394191]
10,35,35,60,-0.21030092592592123,70.0,506,[0.02653525 0.0288097  0.02653525 0.88400303 0.03411676]
10,35,35,61,-0.08569444444444307,30.0,156,[0.02569593 0.04925054 0.01713062 0.86937901 0.0385439 ]
10,35,35,62,-0.11674768518518346,10.0,152,[0.04518664 0.03536346 0.04715128 0.83104126 0.04125737]
10,35,35,63,-0.09481481481481402,20.0,133,[0.06010929 0.09562842 0.05191257 0.74043716 0.05191257]
10,35,35,64,-0.04090277777777829,20.0,70,[0.02553191 0.01702128 0.00851064 0.92340426 0.02553191]
10,35,35,65,-0.42229166666668,30.0,586,[0. 0. 0. 1. 0.]
10,35,35,66,-0.05857638888888903,50.0,91,[0.01311475 0.00655738 0.00655738 0.95409836 0.01967213]
10,35,35,67,-0.14600694444444137,30.0,227,[0.04261796 0.03500761 0.02739726 0.86453577 0.0304414 ]
10,35,35,68,-0.08479166666666625,0.0,111,[0.02769231 0.03076923 0.01846154 0.90769231 0.01538462]
10,35,35,69,-0.09416666666666555,10.0,138,[0.05833333 0.075      0.03333333 0.77777778 0.05555556]
10,35,35,70,-0.039722222222222325,0.0,66,[0.03111111 0.05333333 0.02666667 0.84888889 0.04      ]
10,35,35,71,-0.16582175925925943,10.0,236,[0.03194444 0.02916667 0.02777778 0.89444444 0.01666667]
10,35,35,72,-0.09249999999999921,10.0,138,[0.01785714 0.01530612 0.03826531 0.87755102 0.05102041]
10,35,35,73,-0.1515972222222188,0.0,222,[0.04092072 0.05626598 0.04347826 0.80306905 0.05626598]
10,35,35,74,-0.10115740740740677,10.0,140,[0.04395604 0.04395604 0.03021978 0.84340659 0.03846154]
10,35,35,75,-0.07278935185185051,90.0,321,[0.0599455  0.0626703  0.05722071 0.7520436  0.06811989]
10,35,35,76,-0.41729166666667733,10.0,586,[0. 0. 0. 1. 0.]
10,35,35,77,-0.05984953703703703,20.0,85,[0.03474903 0.03474903 0.03474903 0.84942085 0.04633205]
10,35,35,78,-0.1733333333333324,0.0,234,[0.03608247 0.03350515 0.02448454 0.87757732 0.02835052]
10,35,35,79,-0.10983796296296203,0.0,146,[0.04179104 0.03880597 0.02985075 0.85373134 0.0358209 ]
10,35,35,80,-0.09037037037036948,0.0,128,[0.07923497 0.05464481 0.04371585 0.78142077 0.04098361]
10,35,35,81,-0.10888888888888816,0.0,147,[0.03045685 0.03045685 0.0177665  0.9035533  0.0177665 ]
10,35,35,82,-0.12833333333333247,0.0,198,[0.03212851 0.02811245 0.02811245 0.8935743  0.01807229]
10,35,35,83,-0.16930555555555266,20.0,368,[0.03755869 0.04460094 0.03873239 0.83802817 0.04107981]
10,35,35,84,-0.05307870370370386,20.0,62,[0.01507538 0.03015075 0.0201005  0.91959799 0.01507538]
10,35,35,85,-0.17388888888888235,10.0,352,[0.08482871 0.0766721  0.07830343 0.6721044  0.08809135]
10,35,35,86,-0.11090277777777688,10.0,132,[0.07344633 0.07062147 0.03954802 0.76553672 0.05084746]
10,35,35,87,-0.3345601851851833,10.0,586,[0. 0. 0. 1. 0.]
10,35,35,88,-0.09104166666666594,0.0,138,[0.03526448 0.05541562 0.03526448 0.80352645 0.07052897]
10,35,35,89,-0.13719907407407148,30.0,171,[0.01694915 0.0190678  0.02330508 0.91737288 0.02330508]
10,35,35,90,-0.057870370370370315,20.0,87,[0.0295203  0.01845018 0.03321033 0.90405904 0.01476015]
10,35,35,91,-0.11239583333333095,30.0,243,[0.01798561 0.01618705 0.00719424 0.94604317 0.01258993]
10,35,35,92,-0.08687499999999833,0.0,139,[0.06206897 0.04482759 0.04137931 0.81034483 0.04137931]
10,35,35,93,-0.08883101851851646,10.0,197,[0.06165414 0.06015038 0.04210526 0.77293233 0.06315789]
10,35,35,94,-0.09759259259259091,20.0,156,[0.07511737 0.04929577 0.05633803 0.76056338 0.05868545]
10,35,35,95,-0.04319444444444457,10.0,84,[0.03478261 0.03478261 0.03913043 0.85217391 0.03913043]
10,35,35,96,-0.21046296296296313,30.0,412,[0.02934537 0.03611738 0.04853273 0.8476298  0.03837472]
10,35,35,97,-0.14371527777777893,20.0,357,[0.0536829  0.07240949 0.05742821 0.74656679 0.06991261]
10,35,35,98,-0.09516203703703585,50.0,166,[0.02031603 0.0248307  0.01580135 0.91647856 0.02257336]
10,35,35,99,-0.22343749999999948,0.0,297,[0.00571973 0.00762631 0.00953289 0.97330791 0.00381316]
10,35,35,100,-0.20395833333333097,10.0,279,[0.09690722 0.07628866 0.06185567 0.69484536 0.07010309]
10,35,35,101,-0.0635185185185184,10.0,94,[0.03719008 0.03719008 0.00826446 0.89669421 0.02066116]
10,35,35,102,-0.05729166666666664,0.0,90,[0.02608696 0.05217391 0.04782609 0.82608696 0.04782609]
10,35,35,103,-0.19983796296296225,30.0,328,[0.07061267 0.02492212 0.01661475 0.86604361 0.02180685]
10,35,35,104,-0.31667824074074874,20.0,517,[0.01688049 0.02295746 0.02160702 0.91492235 0.02363268]
10,35,35,105,-0.48819444444446913,0.0,555,[0.01477105 0.01329394 0.01772526 0.94017725 0.0140325 ]
10,35,35,106,-0.05065972222222199,20.0,105,[0.0311284  0.03891051 0.03891051 0.85992218 0.0311284 ]
10,35,35,107,-0.05177083333333355,20.0,63,[0.02390438 0.01195219 0.01195219 0.92828685 0.02390438]
10,35,35,108,-0.058518518518518844,0.0,64,[0.04149378 0.01659751 0.02489627 0.90871369 0.00829876]
10,35,35,109,-0.11828703703703539,10.0,176,[0.09302326 0.09883721 0.08430233 0.65116279 0.07267442]
10,35,35,110,-0.1633912037037002,60.0,273,[0.05206943 0.04539386 0.0493992  0.79572764 0.05740988]
10,35,35,111,-0.10795138888888783,10.0,123,[0.01428571 0.02       0.01142857 0.93428571 0.02      ]
10,35,35,112,-0.05827546296296265,0.0,95,[0.02083333 0.03125    0.02083333 0.88541667 0.04166667]
10,35,35,113,-0.06461805555555533,10.0,105,[0.0156658  0.01827676 0.01305483 0.93994778 0.01305483]
10,35,35,114,-0.11660879629629524,0.0,155,[0.07920792 0.07425743 0.06930693 0.68069307 0.09653465]
10,35,35,115,-0.05193287037037071,10.0,79,[0.00784314 0.00784314 0.00392157 0.98039216 0.        ]
10,35,35,116,-0.18246527777777446,30.0,279,[0.00662252 0.01324503 0.01854305 0.95099338 0.01059603]
